,cs_L3_2,dcs_L2,dcs_L3,dcs_L3_2,dr_2,dunem_L3_2,edcs_L1,edcs_L2,edcs_L2_2,spr,spr_2,spr_L3,spr_L3_2,syc_L3_2,tr10_2,y
1997-04-03,0.06680296062434958,0.0,-1.1341340231348696,0.04404370564738733,0.09049788182083479,0.0,-0.04353214356787837,-0.04338161658023213,8.132449698561919e-05,-1.4093112104544343,0.795072654478141,-1.7425641439902777,1.2165567758638471,0.09367740828575132,4.339547254486634,0
1997-04-04,0.06680296062434958,0.28355635202463497,0.0,0.0,0.09035005943765102,1.0584063994710635,-0.04368344926544634,-0.04353213750302829,8.188981822654023e-05,-1.1600087799611278,0.5386610288870555,-1.4466549311930945,0.8384646136396708,0.09770608813507091,4.415789671974449,0
1997-04-05,0.07091296830279892,0.28355635202463497,0.2835335057837174,0.002752731602961708,0.09020235788227683,0.0,-0.043835545181468566,-0.043683443179516515,8.246006025227349e-05,-1.1600087799611278,0.5386610288870555,-1.302848487220273,0.6800528437738322,0.08973354274904932,4.415789671974449,0
1997-04-06,0.07514566277761987,-0.28355635202463497,0.2835335057837174,0.002752731602961708,0.09005477715471229,0.0,-0.043988436828303515,-0.04383553907434891,8.303527455135515e-05,-1.2395795967932355,0.6150944976478646,-1.408692546573751,0.7950368678832889,0.08973354274904932,4.415789671974449,0
1997-04-07,0.07091296830279892,0.0,-0.2835335057837174,0.002752731602961708,0.08990731725495739,0.0,-0.04414212976635923,-0.04398843069988316,8.361551324217268e-05,-0.9094695938085071,0.3311077693156836,-1.1594995556477796,0.5386367835003039,0.09770608813507055,4.352208217139122,0
1997-04-08,0.07091296830279892,0.0,0.0,0.0,0.08975997818301215,0.0,-0.04429662960479447,-0.044142123616526543,8.420082908119027e-05,-0.6523643765540423,0.1703622937862499,-1.1594995556477796,0.5386367835003039,0.09770608813507055,4.403036495464331,0
1997-04-09,0.07091296830279892,0.0,0.0,0.0,0.08961275993887652,0.0,-0.04445194200189578,-0.044296623433437037,8.479127547264525e-05,-0.7349614333442456,0.2162330649914001,-1.239035442231717,0.6150668119546652,0.09770608813507055,4.403036495464331,0
1997-04-10,0.07091296830279892,-0.28355635202463497,0.0,0.0,0.08946566252255056,0.0,-0.04460807266565958,-0.044451935808900396,8.538690647713237e-05,-0.8570302514900415,0.29402571006081474,-0.9090703519773947,0.33109286599895377,0.08973354274904932,4.403036495464331,0
1997-04-11,0.06680296062434958,0.0,-0.2835335057837174,0.002752731602961708,0.08931868593403422,0.0,-0.044765027354241954,-0.04460806645091225,8.598777682108782e-05,-1.5453840281695204,0.9560175005615095,-0.6520779995822105,0.17035462569912418,0.09367740828575132,4.492696029237194,0
1997-04-12,0.06680296062434958,0.0,0.0,0.0,0.08917183017332753,0.0,-0.04492281187658046,-0.04476502111762787,8.659394190588832e-05,-1.5453840281695204,0.9560175005615095,-0.7346387976558806,0.21622333223924609,0.09367740828575132,4.492696029237194,0
1997-04-13,0.06680296062434958,-2.5184863263717808e-14,0.0,0.0,0.0890250952404305,0.0,-0.04508143209287698,-0.04492280561798401,8.720545781773586e-05,-1.7560807114220434,1.2344740043168074,-0.8566540296468341,0.29401247582504675,0.08587449152496458,4.492696029237194,1
1997-04-14,0.06680296062434922,0.0,-2.5182834109902382e-14,2.1715223441429525e-29,0.08887848113534307,0.0,-0.045240893915173226,-0.04508142581218173,8.782238133713497e-05,-1.498955827526023,0.8994368431045475,-1.5447056306140894,0.9559744697632906,0.08587449152496458,4.492696029237194,0
1997-04-15,0.06680296062434922,0.0,0.0,0.0,0.0887319878580653,0.0,-0.04540120330784685,-0.04524088761226194,8.844476994885597e-05,-1.1807594104574195,0.5581048988373094,-1.5447056306140894,0.9559744697632906,0.08587449152496458,4.364887622563135,0
1997-04-16,0.06680296062434922,0.2835563520246602,0.0,0.0,0.08858561540859713,0.0,-0.04556236628823321,-0.045401196982601436,8.907268185172004e-05,-0.3488898199288282,0.048726991581457206,-1.755309821571979,1.2344184400601332,0.08587449152496458,4.390301761725741,0
1997-04-17,0.07091296830279892,0.0,0.2835335057837426,0.002752731602962197,0.0884393637869386,0.0,-0.045724388927167785,-0.045562359940534744,8.970617596900785e-05,-0.4082184130354815,0.06670804048426578,-1.4982978111685634,0.8993963590283842,0.08210025461349708,4.339547254486634,0
1997-04-18,0.07091296830279892,0.0,0.0,0.0,0.08829323299308976,0.0,-0.04588727734951536,-0.0457243825568965,9.0345311958695e-05,-0.25416693540818597,0.02586015410394999,-1.1802410769668406,0.5580797782728085,0.0784108320146465,4.314280657496235,0
1997-04-19,0.07091296830279892,0.0,0.0,0.0,0.08814722302705053,0.0,-0.04605103773479844,-0.045887270956550645,9.099015022377135e-05,-0.25416693540818597,0.02586015410394999,-0.3487366631751411,0.04872479835660377,0.07128642975479775,4.314280657496235,0
1997-04-20,0.07091296830279892,0.0,0.0,0.0,0.08800133388882096,0.0,-0.046215676317845476,-0.04605103131901881,9.164075192309155e-05,0.31768031023844234,0.04039927765462481,-0.40803921202884685,0.06670503792392775,0.07480622372841352,4.314280657496235,0
1997-04-21,0.07091296830279892,0.0,0.0,0.0,0.08785556557840105,0.0,-0.046381199389194376,-0.04621566987912858,9.22971789824521e-05,0.025068364731515816,0.0002515619851600074,-0.2540553604051387,0.0258589901262273,0.07480622372841352,4.352208217139122,1
1997-04-22,0.07091296830279892,0.0,0.0,0.0,0.0877099180957907,0.0,-0.04654761329587964,-0.046381192927416985,9.295949410483799e-05,0.8520473607701013,0.29061663823436595,-0.2540553604051387,0.0258589901262273,0.07480622372841352,4.314280657496235,0
