1989,39.016963274606795
1990,40.821367488635104
1991,43.948025629235204
1992,45.91654243061829
1993,48.104748588327105
1994,47.2140603974275
1995,47.059782934893505
1996,46.5855106558467
1997,43.9588012566627
1998,41.00991421877121
1999,37.612270180477
2000,33.158223429011
2001,15.1087327374281
2002,53.62950117850001
2003,55.985489984510004
2004,56.3958094092283
2005,56.3034158496978
2006,55.3058887312022
2007,55.6467199235234
2008,64.0372557628174
2009,76.3374591911262
2010,85.62236357128779
2011,90.1978653590693
2012,94.40677352353771
2013,96.6128183555755
2014,96.892838254519
2015,97.37481094839859
2016,99.45685985779458
